,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,71.8,82,91,11.43,US,1713773119
1,adamstown,-25.066,-130.1015,72.18,74,89,27.69,PN,1713773119
2,hechuan,29.9947,106.2572,65.89,86,100,3.65,CN,1713773120
3,blackmans bay,-43.0167,147.3167,58.35,72,100,1.05,AU,1713773120
4,hamilton,39.1834,-84.5333,39.13,68,0,2.19,US,1713773121
5,college,64.8569,-147.8028,31.33,98,51,1.88,US,1713773121
6,murun-kuren,49.6342,100.1625,49.62,27,100,19.15,MN,1713773122
7,margaret river,-33.95,115.0667,63.54,42,4,16.49,AU,1713773122
8,saint-pierre,-21.3393,55.4781,82.09,74,7,5.7,RE,1713773123
9,usinsk,65.9939,57.5281,19.49,75,100,11.18,RU,1713773123
10,port-aux-francais,-49.35,70.2167,41.4,81,8,26.11,TF,1713773124
11,lihue,21.9789,-159.3672,71.28,69,42,16.17,US,1713773124
12,waitangi,-43.9535,-176.5597,53.73,66,4,32.12,NZ,1713773125
13,noshiro,40.2039,140.0242,61.84,53,90,3.18,JP,1713773125
14,montemor-o-novo,38.6481,-8.2145,60.01,61,85,5.68,PT,1713773126
15,tabou,4.423,-7.3528,79.97,87,97,5.59,CI,1713773126
16,edinburgh of the seven seas,-37.0676,-12.3116,62.37,90,34,19.51,SH,1713773127
17,puerto natales,-51.7236,-72.4875,32.25,93,72,4.21,CL,1713773127
18,longyearbyen,78.2186,15.6401,34.34,94,95,10.6,SJ,1713773064
19,puerto ayora,-0.7393,-90.3518,75.36,94,80,6.87,EC,1713773128
20,yellowknife,62.456,-114.3525,32.99,87,99,8.72,CA,1713772883
21,kailua-kona,19.6406,-155.9956,76.26,69,77,1.81,US,1713773129
22,vorgashor,67.5833,63.95,11.77,86,100,11.25,RU,1713773129
23,motueka,-41.1333,173.0167,53.78,87,78,2.1,NZ,1713773130
24,ushuaia,-54.8,-68.3,33.19,96,100,5.88,AR,1713773130
25,bethel,41.3712,-73.414,31.96,80,53,3.62,US,1713773131
26,horta,38.5333,-28.6333,59.2,78,100,14.18,PT,1713773131
27,ribeira grande,38.5167,-28.7,58.33,77,100,14.76,PT,1713773132
28,remire-montjoly,4.9167,-52.2667,78.4,87,100,2.37,GF,1713773132
29,mana,5.6592,-53.7767,77.29,91,91,5.64,GF,1713773133
30,ilulissat,69.2167,-51.1,29.88,90,100,5.14,GL,1713773133
31,grytviken,-54.2811,-36.5092,32.76,82,100,15.82,GS,1713773134
32,nadym,65.5333,72.5167,13.48,80,100,23.0,RU,1713773134
